playerId,fullName,birthDate,shootsCatches,height,weight
8477346,MacKenzie Weegar,1994-01-07,R,72,206
8476460,Mark Scheifele,1993-03-15,R,75,207
8476448,William Karlsson,1993-01-08,L,72,190
8484144,Connor Bedard,2005-07-17,R,70,185
8477493,Aleksander Barkov,1995-09-02,L,75,215
8475768,Jaden Schwartz,1992-06-25,L,70,185
8477948,Travis Sanheim,1996-03-29,L,76,222
8482745,Mason McTavish,2003-01-30,L,72,213
8478864,Kirill Kaprizov,1997-04-26,L,70,202
8475158,Ryan O'Reilly,1991-02-07,L,73,207
8475188,Brayden McNabb,1991-01-21,L,76,215
8475692,Mats Zuccarello,1987-09-01,L,68,181
8482087,Kaiden Guhle,2002-01-18,L,75,201
8476999,Linus Ullmark,1993-07-31,L,76,213
8474578,Erik Karlsson,1990-05-31,R,72,190
8478402,Connor McDavid,1997-01-13,L,73,194
8476853,Morgan Rielly,1994-03-09,L,73,225
8482105,Jake Sanderson,2002-07-08,L,74,203
8481540,Cole Caufield,2001-01-02,R,68,175
8478500,Ivan Provorov,1997-01-13,L,73,220
8474590,John Carlson,1990-01-10,R,75,215
8478449,Roope Hintz,1996-11-17,L,75,212
8478851,Alexandre Carrier,1996-10-08,R,71,174
8479420,Tage Thompson,1997-10-30,R,78,220
8479542,Brandon Hagel,1998-08-27,L,74,183
8478439,Travis Konecny,1997-03-11,R,70,192
8477500,Bo Horvat,1995-04-05,L,73,213
8477498,Darnell Nurse,1995-02-04,L,76,215
8477447,Shea Theodore,1995-08-03,L,74,197
8480018,Nick Suzuki,1999-08-10,R,71,212
8475171,Oliver Ekman-Larsson,1991-07-17,L,74,191
8479343,Clayton Keller,1998-07-29,L,70,178
8474600,Roman Josi,1990-06-01,L,73,201
8484153,Leo Carlsson,2004-12-26,L,75,194
8480036,Miro Heiskanen,1999-07-18,L,74,197
8475745,Charlie Coyle,1992-03-02,R,75,218
8477495,Seth Jones,1994-10-03,R,76,213
8479425,Filip Hronek,1997-11-02,R,72,190
8475786,Zach Hyman,1992-06-09,R,73,206
8476389,Vincent Trocheck,1993-07-11,R,71,187
8477497,Sean Monahan,1994-10-12,L,74,202
8477451,Ryan Hartman,1994-09-20,R,72,197
8479675,Trevor Moore,1995-03-31,L,71,195
8479314,Matthew Tkachuk,1997-12-11,L,74,206
8480434,Sean Durzi,1998-10-21,R,72,195
8480064,Josh Norris,1999-05-05,L,74,195
8479410,Mikhail Sergachev,1998-06-25,L,75,211
8475913,Mark Stone,1992-05-13,R,75,212
8475764,Cam Fowler,1991-12-05,L,74,215
8480113,Alex Iafallo,1993-12-21,L,72,201
8477426,Nicholas Paul,1995-03-20,L,75,229
8478859,Niko Mikkola,1996-04-27,L,77,206
8475852,Petr Mrazek,1992-02-14,L,74,188
8477951,Nick Schmaltz,1996-02-23,R,72,181
8479983,Mario Ferraro,1998-09-17,L,72,209
8477942,Kevin Fiala,1996-07-22,L,72,205
8480879,Jacob Bernard-Docker,2000-06-30,R,72,190
8480382,Alexandar Georgiev,1996-02-10,L,73,178
8480829,Jesperi Kotkaniemi,2000-07-06,L,74,201
8476463,Jonas Brodin,1993-07-12,L,74,196
8476880,Tom Wilson,1994-03-29,R,76,220
8477949,Alex Tuch,1996-05-10,R,76,219
8478474,Lawson Crouse,1997-06-23,L,76,215
8478048,Igor Shesterkin,1995-12-30,L,73,197
8475753,Justin Faulk,1992-03-20,R,72,214
8480023,Robert Thomas,1999-07-02,R,72,218
8478427,Sebastian Aho,1997-07-26,L,72,176
8476958,Jaccob Slavin,1994-05-01,L,75,207
8478136,Jake Middleton,1996-01-02,L,75,219
8478414,Timo Meier,1996-10-08,L,73,220
8475784,Jeff Skinner,1992-05-16,L,71,197
8474715,Cam Atkinson,1989-06-05,R,68,175
8475799,Nino Niederreiter,1992-09-08,L,74,218
8475191,Reilly Smith,1991-04-01,L,73,185
8477369,Carson Soucy,1994-07-27,L,77,208
8476459,Mika Zibanejad,1993-04-18,R,74,201
8478472,Mathieu Joseph,1997-02-09,L,73,186
8478407,Vince Dunn,1996-10-29,L,72,200
8478911,Matt Roy,1995-03-01,R,74,210
8475169,Evander Kane,1991-08-02,L,74,218
8479998,Mikey Anderson,1999-05-25,L,72,195
8478469,Thomas Chabot,1997-01-30,L,74,203
8477504,Josh Morrissey,1995-03-28,L,72,195
8478873,Troy Terry,1997-09-10,R,72,185
8475754,Brock Nelson,1991-10-15,L,76,210
8476902,Esa Lindell,1994-05-23,L,75,216
8483490,Pavel Mintyukov,2003-11-25,L,73,195
8480009,Eeli Tolvanen,1999-04-22,L,70,191
8476869,Brady Skjei,1994-03-26,L,75,210
8476467,Jamie Oleksiak,1992-12-21,L,79,257
8475462,Radko Gudas,1990-06-05,R,72,208
8482093,Seth Jarvis,2002-02-01,R,70,175
8475790,Erik Gudbranson,1992-01-07,R,77,222
8473507,Jeff Petry,1987-12-09,R,75,208
8480797,Joel Farabee,2000-02-25,L,72,186
8476473,Connor Murphy,1993-03-26,R,76,212
8471724,Kris Letang,1987-04-24,R,72,201
8477506,Ryan Pulock,1994-10-06,R,74,216
8476892,Colton Parayko,1993-05-12,R,78,228
8476906,Shayne Gostisbehere,1993-04-20,L,71,183
8477465,Tristan Jarry,1995-04-29,L,74,194
8478438,Tommy Novak,1997-04-28,L,73,179
8476881,Tomas Hertl,1993-11-12,L,75,215
8480807,Mattias Samuelsson,2000-03-14,L,76,231
8470966,Mark Giordano,1983-10-03,L,72,202
8474563,Drew Doughty,1989-12-08,R,73,210
8477409,Carter Verhaeghe,1995-08-14,L,74,180
8476979,Erik Gustafsson,1992-03-14,L,73,189
8476458,Ryan Strome,1993-07-11,R,73,191
8477955,Jared McCann,1996-05-31,L,73,191
8477416,Oliver Bjorkstrand,1995-04-10,R,72,175
8476882,Teuvo Teravainen,1994-09-11,L,71,191
8481624,Ilya Mikheyev,1994-10-10,L,74,192
8478891,Mason Appleton,1996-01-15,R,74,194
8475765,Vladimir Tarasenko,1991-12-13,L,73,219
8480039,Martin Necas,1999-01-15,R,74,189
8482671,Owen Power,2002-11-22,L,78,218
8481557,Matt Boldy,2001-04-05,L,74,201
8480188,Fabian Zetterlund,1999-08-25,R,71,220
8478445,Mathew Barzal,1997-05-26,R,73,190
8473994,Jamie Benn,1989-07-18,L,74,205
8475168,Matt Duchene,1991-01-16,L,73,210
8482111,Justin Barron,2001-11-15,R,74,202
8480336,Sean Walker,1994-11-13,R,71,191
8473422,Nick Foligno,1987-10-31,L,72,210
8474673,TJ Brodie,1990-06-07,L,74,187
8475287,Erik Haula,1991-03-23,L,71,191
8475760,Nick Bjugstad,1992-07-17,R,78,209
8478542,Evan Rodrigues,1993-07-28,R,71,175
8482124,Quinton Byfield,2002-08-19,L,77,225
8471214,Alex Ovechkin,1985-09-17,R,75,238
8481581,Thomas Harley,2001-08-19,L,76,206
8474037,James van Riemsdyk,1989-05-04,L,75,208
8474574,Tyler Myers,1990-02-01,R,80,229
8477992,Jonas Johansson,1995-09-19,L,77,219
8475151,Kyle Palmieri,1991-02-01,R,71,196
8480950,Ilya Lyubushkin,1994-04-06,R,74,200
8475218,Mattias Ekholm,1990-05-24,L,77,225
8474641,Adam Henrique,1990-02-06,L,72,195
8482740,Wyatt Johnston,2003-05-14,R,74,184
8476331,Dylan DeMelo,1993-05-01,R,73,194
8480843,Lukas Dostal,2000-06-22,L,74,188
8476539,Jonathan Marchessault,1990-12-27,R,69,185
8475279,Ben Chiarot,1991-05-09,L,75,224
8480893,Kirill Marchenko,2000-07-21,R,75,195
8480035,Henri Jokiharju,1999-06-17,R,72,200
8479371,Dante Fabbro,1998-06-20,R,72,189
8481524,Bowen Byram,2001-06-13,L,73,190
8478460,Zach Werenski,1997-07-19,L,74,219
8474151,Ryan McDonagh,1989-06-13,L,73,215
8483808,Andrei Kuzmenko,1996-02-04,R,71,194
8481716,Dmitri Voronkov,2000-09-10,L,77,240
8476925,Colton Sissons,1993-11-05,R,73,200
8478396,Noah Hanifin,1997-01-25,L,75,207
8481568,Alex Vlasic,2001-06-05,L,78,199
8476412,Jordan Binnington,1993-07-11,L,74,172
8478055,Gustav Forsling,1996-06-12,L,72,195
8475455,Brenden Dillon,1990-11-13,L,76,225
8482092,Ridly Greig,2002-08-08,L,72,184
8475179,Dmitry Kulikov,1990-10-29,L,73,201
8480817,K'Andre Miller,2000-01-21,L,77,210
8482122,Brock Faber,2002-08-22,R,73,200
8476923,Damon Severson,1994-08-07,R,74,202
8478401,Pavel Zacha,1997-04-06,L,76,207
8481527,Kaedan Korczak,2001-01-29,R,75,201
8479999,Casey Mittelstadt,1998-11-22,L,73,195
8475797,Jarred Tinordi,1992-02-20,L,78,229
8480873,Rasmus Sandin,2000-03-07,L,71,182
8476454,Ryan Nugent-Hopkins,1993-04-12,L,73,192
8478507,John Marino,1997-05-21,R,73,181
8478443,Brandon Carlo,1996-11-26,R,77,217
8482175,JJ Peterka,2002-01-14,L,72,189
8477450,Jason Dickinson,1995-07-04,L,74,200
8482073,Braden Schneider,2001-09-20,R,75,211
8476461,Sean Couturier,1992-12-07,L,76,210
8474009,Nick Bonino,1988-04-20,L,73,198
8479336,Carl Grundstrom,1997-12-01,L,72,200
8477541,Dakota Mermis,1994-01-05,L,72,195
8477476,Artturi Lehkonen,1995-07-04,L,71,179
8476457,Adam Larsson,1992-11-12,R,75,209
8480027,Jason Robertson,1999-07-22,L,75,202
8476872,Scott Laughton,1994-05-30,L,73,191
8482078,Lucas Raymond,2002-03-28,R,71,188
8475793,Ryan Johansen,1992-07-31,R,75,218
8480208,Drake Batherson,1998-04-27,R,75,203
8476871,Tanner Pearson,1992-08-10,L,73,207
8478458,Jack Roslovic,1997-01-29,R,73,198
8480796,Martin Fehervary,1999-10-06,L,74,199
8476479,Phillip Danault,1993-02-24,L,73,200
8475690,Chris Tanev,1989-12-20,R,74,193
8480015,Owen Tippett,1999-02-16,R,73,210
8479394,Carter Hart,1998-08-13,L,74,196
8482109,Alexis Lafrenière,2001-10-11,L,73,194
8478440,Dylan Strome,1997-03-07,L,75,200
8483505,Matthew Poitras,2004-03-10,R,71,180
8470621,Corey Perry,1985-05-16,R,75,208
8476917,Adam Pelech,1994-08-16,L,75,210
8476988,Matt Benning,1994-05-25,R,73,203
8477496,Elias Lindholm,1994-12-02,R,73,202
8478009,Ilya Sorokin,1995-08-04,L,75,195
8479385,Jordan Kyrou,1998-05-05,R,73,196
8477429,Andrew Copp,1994-07-08,L,73,203
8477456,J.T. Compher,1995-04-08,R,72,190
8475714,Calle Jarnkrok,1991-09-25,R,72,190
8478462,Nicolas Roy,1997-02-05,R,76,202
8476905,Chandler Stephenson,1994-04-22,L,72,209
8476392,Adam Lowry,1993-03-29,L,77,210
8475762,Derek Forbort,1992-03-04,L,76,216
8478519,Anthony Cirelli,1997-07-15,L,73,190
8480855,Jack McBain,2000-01-06,L,75,201
8484166,Adam Fantilli,2004-10-12,L,74,194
8480145,Neal Pionk,1995-07-29,R,72,190
8475744,Evgeny Kuznetsov,1992-05-19,L,74,207
8470613,Brent Burns,1985-03-09,R,77,230
8475848,Brendan Gallagher,1992-05-06,R,69,183
8481560,Arthur Kaliyev,2001-06-26,L,74,210
8481711,Matias Maccelli,2000-10-14,L,71,176
8478233,Andrew Mangiapane,1996-04-04,L,70,184
8477435,Ryan Graves,1995-05-21,L,77,220
8481014,Alexander Romanov,2000-01-06,L,73,215
8482149,Cole Perfetti,2002-01-01,L,71,185
8483431,Logan Cooley,2004-05-04,L,70,174
8478047,Michael Bunting,1995-09-17,L,72,192
8474870,Tyler Johnson,1990-07-29,R,68,185
8482079,Marco Rossi,2001-09-23,L,69,182
8478413,Jordan Greenway,1997-02-16,L,78,231
8479361,Joseph Woll,1998-07-12,L,75,202
8476826,Yanni Gourde,1991-12-15,L,69,174
8479400,Pierre-Luc Dubois,1998-06-24,L,76,225
8474602,Justin Schultz,1990-07-06,R,74,190
8481178,Egor Zamula,2000-03-30,L,75,200
8478882,Vladislav Gavrikov,1995-11-21,L,75,220
8478399,Jonas Siegenthaler,1997-05-06,L,74,218
8481186,Logan O'Connor,1996-08-14,R,72,175
8476372,Nick Seeler,1993-06-03,L,75,197
8475172,Nazem Kadri,1990-10-06,L,72,185
8475220,Marcus Foligno,1991-08-10,L,75,226
8474189,Lars Eller,1989-05-08,L,74,205
8477987,Ryan Donato,1996-04-09,L,72,190
8481553,Bobby Brink,2001-07-08,R,68,169
8480748,Kiefer Sherwood,1995-03-31,R,72,194
8476399,Blake Coleman,1991-11-28,L,71,199
8479992,Michael Rasmussen,1999-04-17,L,78,220
8479619,Michael Carcone,1996-05-19,L,69,170
8477335,Kyle Burroughs,1995-07-12,R,72,193
8474013,Ian Cole,1989-02-21,L,73,225
8476419,Jean-Gabriel Pageau,1992-11-11,R,71,185
8474612,Travis Hamonic,1990-08-16,R,73,200
8475231,Casey Cizikas,1991-02-27,L,71,194
8477424,Juuse Saros,1995-04-19,L,71,180
8481528,Dylan Cozens,2001-02-09,R,75,195
8474150,Mikael Backlund,1989-03-17,L,72,206
8482655,J.J. Moser,2000-06-06,L,73,173
8479525,Ross Colton,1996-09-11,L,72,194
8475170,Brayden Schenn,1991-08-22,L,73,199
8475791,Taylor Hall,1991-11-14,L,73,210
8481601,Simon Holmstrom,2001-05-24,L,74,215
8481605,Jackson LaCombe,2001-01-09,L,74,205
8477501,Valeri Nichushkin,1995-03-04,L,76,210
8479980,Nicolas Hague,1998-12-05,L,78,240
8482146,Luke Evangelista,2002-02-21,R,72,183
8477507,Nikita Zadorov,1995-04-16,L,78,248
8483466,Kevin Korchinski,2004-06-21,L,73,185
8478466,Daniel Sprong,1997-03-17,R,72,195
8476456,Jonathan Huberdeau,1993-06-04,L,73,200
8477407,Anthony Duclair,1995-08-26,L,71,197
8475197,Tyson Barrie,1991-07-26,R,71,197
8479402,Jake Bean,1998-06-09,L,73,191
8477998,Warren Foegele,1996-04-01,L,74,204
8477508,Curtis Lazar,1995-02-02,R,72,203
8481032,Paul Cotter,1999-11-16,L,74,213
8474031,Kevin Shattenkirk,1989-01-29,R,72,203
8477845,Trevor van Riemsdyk,1991-07-24,R,75,191
8476897,Oskar Sundqvist,1994-03-23,R,75,220
8478840,Will Borgen,1996-12-19,R,75,204
8473446,Erik Johnson,1988-03-21,R,76,225
8481618,Alex Newhook,2001-01-28,L,71,199
8478038,Devon Toews,1994-02-21,L,73,191
8477950,Tony DeAngelo,1995-10-24,R,71,180
8479661,Tanner Jeannot,1997-05-29,L,74,220
8481093,Rafael Harvey-Pinard,1999-01-06,L,69,184
8482176,Wyatt Kaiser,2002-07-31,L,72,173
8482705,Cole Sillinger,2003-05-16,L,73,199
8478043,Sam Lafferty,1995-03-06,R,74,205
8476374,Sean Kuraly,1993-01-20,L,74,215
8479941,Justin Danforth,1993-03-15,R,68,188
8474679,Gustav Nyquist,1989-09-01,L,71,180
8481580,Connor McMichael,2001-01-15,L,72,180
8482684,Luke Hughes,2003-09-09,L,74,184
8477964,Ivan Barbashev,1995-12-14,L,72,198
8479718,Alex Barré-Boulet,1997-05-21,L,70,178
8474034,Pat Maroon,1988-04-23,L,75,234
8479976,Juuso Valimaki,1998-10-06,L,74,205
8482241,Radim Zohorna,1996-04-29,L,78,220
8479415,Michael McLeod,1998-02-03,R,74,190
8470600,Ryan Suter,1985-01-21,L,73,201
8481546,Cam York,2001-01-05,L,72,194
8478011,Louie Belpedio,1996-05-14,R,71,197
8482667,William Eklund,2002-10-12,L,71,181
8478463,Anthony Beauvillier,1997-06-08,L,71,180
8476792,Torey Krug,1991-04-12,L,69,194
8475794,Tyler Seguin,1992-01-31,R,73,207
8476858,Phillip Di Giuseppe,1993-10-09,L,72,193
8479365,Trent Frederic,1998-02-11,L,75,220
8477330,Dominik Kubalik,1995-08-21,L,74,192
8477969,Marcus Pettersson,1996-05-08,L,75,177
8478178,Darren Raddysh,1996-02-28,R,73,195
8480813,Joe Veleno,2000-01-13,L,73,201
8474102,David Perron,1988-05-28,R,72,195
8475906,John Klingberg,1992-08-14,R,74,185
8475200,Dmitry Orlov,1991-07-23,L,71,214
8480205,Emil Bemstrom,1999-06-01,R,72,195
8481167,Brayden Pachal,1999-08-23,R,74,202
8477953,Kasperi Kapanen,1996-07-23,R,73,194
8479359,Beck Malenstyn,1998-02-04,L,75,200
8478416,Erik Cernak,1997-05-28,R,75,230
8476312,Josh Manson,1991-10-07,R,75,218
8477479,Tyler Bertuzzi,1995-02-24,L,74,200
8482720,Matthew Knies,2002-10-17,L,75,217
8481812,Nikolai Knyzhov,1998-03-20,L,75,222
8479398,Samuel Girard,1998-05-12,L,70,170
8475825,Jani Hakanpää,1992-03-31,R,79,222
8479591,Michael Eyssimont,1996-09-09,L,72,201
8477365,Connor Clifton,1995-04-28,R,71,190
8475324,Nick Jensen,1990-09-21,R,73,205
8476931,Jake McCabe,1993-10-12,L,73,211
8475208,Brian Dumoulin,1991-09-06,L,76,207
8477478,William Carrier,1994-12-20,L,74,220
8483460,David Jiricek,2003-11-28,R,76,207
8478498,Jake DeBrusk,1996-10-17,L,73,198
8476856,Matt Dumba,1994-07-25,R,72,181
8479390,Taylor Raddysh,1998-02-18,R,75,198
8480078,Filip Chytil,1999-09-05,L,74,208
8475149,Marcus Johansson,1990-10-06,L,73,203
8478020,Michael Amadio,1996-05-13,R,73,200
8473504,Cal Clutterbuck,1987-11-18,R,71,215
8478831,Kevin Stenlund,1996-09-20,R,77,215
8482157,Will Cuylle,2002-02-05,L,75,210
8476945,Connor Hellebuyck,1993-05-19,L,76,207
8482665,Matty Beniers,2002-11-05,L,74,178
8479442,Troy Stecher,1994-04-07,R,70,184
8480043,Timothy Liljegren,1999-04-30,R,73,190
8477018,Ben Hutton,1993-04-20,L,75,201
8481606,Jordan Spence,2001-02-24,R,71,180
8480008,Adam Ruzicka,1999-05-11,L,76,215
8477425,Miles Wood,1995-09-13,L,74,195
8476474,Stefan Noesen,1993-02-12,R,73,205
8480172,Jan Rutta,1990-07-29,R,75,204
8481481,Blake Lizotte,1997-12-13,L,69,175
8481006,Tyler Tucker,2000-03-01,L,73,204
8477903,Garnet Hathaway,1991-11-23,R,74,212
8480887,Jordan Harris,2000-07-07,L,71,189
8481604,Pavel Dorofeyev,2000-10-26,L,73,194
8481058,Jesse Ylönen,1999-10-03,R,73,200
8478421,A.J. Greer,1996-12-14,L,75,209
8482062,Cole Smith,1995-10-28,L,75,195
8480192,Johnathan Kovacevic,1997-07-12,R,77,223
8476483,Rickard Rakell,1993-05-05,R,73,195
8478975,Mason Marchment,1995-06-18,L,77,216
8480860,Kevin Bahl,2000-06-27,L,78,230
8477511,Anthony Mantha,1994-09-16,L,77,234
8478468,Jeremy Lauzon,1997-04-28,L,73,204
8475181,Nick Leddy,1991-03-20,L,72,205
8480281,Alexey Toropchenko,1999-06-25,L,78,222
8475314,Anders Lee,1990-07-03,L,75,227
8476434,John Gibson,1993-07-14,L,74,210
8480246,Nick Perbix,1998-06-15,R,75,202
8476480,Vladislav Namestnikov,1992-11-22,L,72,181
8476854,Hampus Lindholm,1994-01-20,L,76,224
8475750,Jon Merrill,1992-02-03,L,75,204
8476346,Johnny Gaudreau,1993-08-13,L,69,163
8480002,Nico Hischier,1999-01-04,L,73,175
8475842,Sam Carrick,1992-02-04,R,72,200
8478057,Dakota Joshua,1996-05-15,L,75,206
8480025,MacKenzie Entwistle,1999-07-14,R,75,184
8481517,Brett Leason,1999-04-30,R,77,218
8474149,Evgenii Dadonov,1989-03-12,L,72,185
8479987,Morgan Geekie,1998-07-20,R,75,202
8478569,Noel Acciari,1991-12-01,R,70,209
8482660,Kent Johnson,2002-10-18,L,72,178
8477971,Andreas Englund,1996-01-21,L,76,200
8478408,Travis Dermott,1996-12-22,L,72,202
8479346,Dillon Dube,1998-07-20,L,71,185
8483515,Juraj Slafkovsky,2004-03-30,L,75,230
8480222,Sebastian Aho (D),1996-02-17,L,70,180
8476438,Brandon Saad,1992-10-27,L,73,215
8480289,Morgan Barron,1998-12-02,L,76,220
8481535,Nils Hoglander,2000-12-20,L,69,185
8480834,Ty Emberson,2000-05-23,R,74,193
8476889,Radek Faksa,1994-01-09,L,75,215
8477402,Pavel Buchnevich,1995-04-17,L,73,196
8476891,Matt Grzelcyk,1994-01-05,L,70,180
8478017,Mark Friedman,1995-12-25,R,71,185
8477940,Nikolaj Ehlers,1996-02-14,L,72,172
8481533,Trevor Zegras,2001-03-20,L,72,185
8482089,Jake Neighbours,2002-03-29,L,72,201
8479520,Brandon Duhaime,1997-05-22,L,74,200
8479316,Luke Kunin,1997-12-04,R,72,197
8478133,Jake Evans,1996-06-02,R,73,187
8480185,Eetu Luostarinen,1998-09-02,L,75,190
8471698,T.J. Oshie,1986-12-23,R,72,187
8481068,Yegor Sharangovich,1998-06-06,L,74,196
8482110,Dawson Mercer,2001-10-27,R,72,180
8479372,Josh Mahura,1998-05-05,L,72,193
8482113,Anton Lundell,2001-10-03,L,73,190
8480448,Parker Kelly,1999-05-14,L,73,185
8478502,Dennis Gilbert,1996-10-30,L,74,216
8480049,Dylan Samberg,1999-01-24,L,76,216
8473533,Jordan Staal,1988-09-10,L,76,220
8478104,Sammy Blais,1996-06-17,L,74,206
8473453,Trevor Lewis,1987-01-08,R,73,205
8478021,William Lagesson,1996-02-22,L,74,211
8477070,Liam O'Brien,1994-07-29,L,73,213
8479576,Vincent Desharnais,1996-05-29,R,79,226
8479324,Ryan Lindgren,1998-02-11,L,72,193
8480884,Calen Addison,2000-04-11,R,71,173
8476329,Travis Boyd,1993-09-14,R,72,190
8476292,Ondrej Palat,1991-03-28,L,72,194
8471218,Blake Wheeler,1986-08-31,R,77,222
8476918,Jimmy Vesey,1993-05-26,L,74,200
8477970,Vitek Vanecek,1996-01-09,L,74,184
8482964,Arber Xhekaj,2001-01-30,L,76,240
8477505,Alex Wennberg,1994-09-22,L,74,190
8477244,Chad Ruhwedel,1990-05-07,R,71,191
8477947,Sonny Milano,1996-05-12,L,72,194
8480789,Oliver Wahlstrom,2000-06-13,R,74,200
8480821,Filip Zadina,1999-11-27,L,72,190
8481789,Tye Kartye,2001-04-30,L,71,202
8479353,Brett Howden,1998-03-29,L,74,200
8476874,Olli Maatta,1994-08-22,L,74,207
8475225,Craig Smith,1989-09-05,R,73,203
8477944,Jakub Vrana,1996-02-28,L,72,190
8476879,Cody Ceci,1993-12-21,R,75,210
8471709,Marc-Edouard Vlasic,1987-03-30,L,73,205
8479543,Michael Pezzetta,1998-03-13,L,73,217
8478434,Keegan Kolesar,1997-04-08,R,74,216
8477503,Max Domi,1995-03-02,L,70,208
8480878,Nils Lundkvist,2000-07-27,R,73,190
8480459,Pius Suter,1996-05-24,L,71,179
8480220,Noah Cates,1999-02-05,L,74,194
8474586,Jordan Eberle,1990-05-15,R,71,190
8478432,Christian Fischer,1997-04-15,R,74,212
8475718,Justin Holl,1992-01-30,R,76,194
8475177,Calvin de Haan,1991-05-09,L,73,192
8476967,Brett Kulak,1994-01-06,L,74,192
8480980,Connor Dewar,1999-06-26,L,70,183
8482159,Tyson Foerster,2002-01-18,R,74,215
8474090,Brendan Smith,1989-02-08,L,74,200
8474618,Marco Scandella,1990-02-23,L,75,212
8478115,Pierre Engvall,1996-05-31,L,77,215
8479414,Nathan Bastian,1997-12-06,R,76,205
8475763,Kevin Hayes,1992-05-08,L,77,216
8479393,Noah Gregor,1998-07-28,L,72,192
8484304,Uvis Balinskis,1996-08-01,L,72,196
8476960,Andreas Athanasiou,1994-08-06,L,74,190
8475164,Jakob Silfverberg,1990-10-13,R,73,207
8480074,Alexandre Texier,1999-09-13,L,73,201
8481556,John Beecher,2001-04-05,L,75,216
8476822,Luke Glendening,1989-04-28,R,70,190
8476878,Zemgus Girgensons,1994-01-05,L,74,200
8476393,Nick Cousins,1993-07-20,L,71,186
8482125,Alexander Holtz,2002-01-23,R,72,195
8475193,Tomas Tatar,1990-12-01,L,70,173
8478856,Conor Garland,1996-03-11,R,70,165
8481704,Juuso Parssinen,2001-02-01,L,75,212
8473449,Kyle Okposo,1988-04-16,R,72,218
8479977,Kailer Yamamoto,1998-09-29,R,68,153
8481656,Aliaksei Protas,2001-01-06,L,78,225
8477846,Ryan Carpenter,1991-01-18,R,73,198
8475798,Mikael Granlund,1992-02-26,L,70,185
8480849,Barrett Hayton,2000-06-09,L,73,207
8482155,Alex Laferriere,2001-10-28,R,73,205
8481577,Philip Tomasino,2001-07-28,R,72,179
8477839,Conor Sheary,1992-06-08,L,68,179
8479547,Matthew Phillips,1998-04-06,R,68,160
